negative,neutral,positive,word
144,141,179,hope
24,19,11,quarter
181,220,158,text
35,31,28,enjoying
35,43,43,thoroughly
28,57,40,occasionally
24,20,26,raising
3,4,5,eyebrow
2,6,6,troublesome
4,5,6,remark
921,803,835,two
454,317,317,having
7,0,0,lash
13,18,12,checking
3,1,2,gnostic
21,37,45,texts
30,5,24,pagan
187,221,224,ideas
21,35,39,faced
71,68,101,www
1,0,0,redicecreations
27,28,59,radio
138,158,164,john
5,12,10,lamb
58,13,19,racist
1,0,0,antisemite
3,5,4,disconcerting
6,8,2,undertones
101,123,93,finds
19,8,16,admittedly
1,0,0,blips
2,1,1,dissolved
16,17,25,dealt
4,3,3,latent
62,30,40,racism
32,35,29,breaking
142,121,165,truly
14,8,16,notions
30,23,38,blind
94,83,115,red
45,29,30,ice
15,11,8,notably
5,2,4,supremacist
1,0,0,conspiracist
33,15,28,site
26,27,43,interview
161,105,66,attempt
2,0,0,dispose
155,131,125,possible
39,9,14,ignorant
30,18,5,problematic
61,47,102,field
3,1,0,ufos
6,0,0,ets
1,0,1,alt
18,8,3,blatant
171,52,49,claims
21,6,15,genocide
48,10,5,disgusting
2,1,2,manipulations
14,3,3,fog
7,7,15,colin
26,11,32,wilson
1,0,0,praisers
25,12,30,hatred
244,270,235,perhaps
257,211,276,full
18,8,20,blown
6,4,3,madman
4,5,0,raving
23,18,18,fool
5,14,5,composition
148,206,155,certainly
332,299,376,must
42,37,34,separate
104,69,81,emotional
64,60,72,mental
2,7,3,ailments
87,97,90,situation
32,26,26,exercise
133,129,134,coming
78,60,39,intelligent
17,24,16,caring
408,296,282,person
437,477,457,may
305,154,127,star
1027,691,662,make
362,348,316,sense
83,44,12,disappointing
50,34,24,disturbing
236,239,178,sort
90,123,61,ended
116,57,43,unless
99,163,189,became
105,61,69,immediately
8,4,3,transforms
9,5,7,seeds
19,8,28,ideology
223,107,130,saying
14,5,13,matthew
4,3,6,hopkins
25,26,17,rid
45,36,35,fellow
92,129,105,sister
60,40,40,killing
12,15,22,birds
29,45,58,stone
150,201,324,loved
57,55,56,sweet
27,24,15,kinda
127,131,162,shows
577,305,298,pages
1,0,0,uasully
290,260,199,half
